file,genvar,resvar,totvar,h2,trait,mode,ptype
asi_a2,0.157869,0.333677,0.491545,0.321168,asi,a2,bph
asi_d2,0.238318,0.256487,0.494805,0.48164,asi,d2,bph
asi_h2,0.245036,0.250395,0.495431,0.494592,asi,h2,bph
dtp_a2,0.34789,2.54585,2.89374,0.120221,dtp,a2,bph
dtp_d2,2.36342,0.585949,2.94937,0.801331,dtp,d2,bph
dtp_h2,2.56321,0.408123,2.97133,0.862647,dtp,h2,bph
dts_a2,0.823782,3.19644,4.02022,0.20491,dts,a2,bph
dts_d2,3.5113,0.629905,4.14121,0.847893,dts,d2,bph
dts_h2,3.74711,0.415843,4.16295,0.900109,dts,h2,bph
eht_a2,9.78367,50.4736,60.2573,0.162365,eht,a2,bph
eht_d2,1.36498,60.0979,61.4629,0.0222082,eht,d2,bph
eht_h2,2.94474,57.8329,60.7776,0.0484511,eht,h2,bph
gy_a2,125.878,127.747,253.625,0.496315,gy,a2,bph
gy_d2,159.609,95.3911,255.001,0.625918,gy,d2,bph
gy_h2,216.447,45.5643,262.011,0.826098,gy,h2,bph
pht_a2,20.1174,216.471,236.588,0.0850313,pht,a2,bph
pht_d2,120.157,110.811,230.969,0.520233,pht,d2,bph
pht_h2,218.257,22.6481,240.906,0.905988,pht,h2,bph
tw_a2,1.15024,0.473944,1.62418,0.708195,tw,a2,bph
tw_d2,0.897247,0.700596,1.59784,0.561536,tw,d2,bph
tw_h2,0.968953,0.634745,1.6037,0.604199,tw,h2,bph
