"trait","mode","p21","p43","aic21","aic43"
"ASI","a2",0.892558618333331,0.0280505015184704,1.98042259206356,-3.26312500881355
"ASI","d2",1.32541360327636e-07,0.86517567741331,-27.8548918187577,1.96855183594084
"ASI","h2",5.75948996146167e-07,0.606936279474633,-24.811489527962,1.71129021977603
"DTP","a2",1.43638595487604e-30,5.70818359273643e-08,-139.542855607633,-30.1263759743756
"DTP","d2",0.292075994364995,0.035441863939654,0.808805018272693,-2.82551190899645
"DTP","h2",2.29179357432445e-06,0.00290416206012633,-21.9609310005911,-7.67148148822699
"DTS","a2",1.66268721160422e-26,2.42505108641656e-10,-119.67123981929,-41.7133958497354
"DTS","d2",0.0540714426149363,0.210452387989967,-1.98169738988783,0.289203631999527
"DTS","h2",7.04832133898046e-09,0.0873124568180357,-33.9597932583896,-1.18877270311353
"EHT","a2",1.43212131740454e-08,0.00149168833558675,-32.4819037224874,-9.00438398687715
"EHT","d2",0.140893334158065,0.211173578972626,-0.326689713838107,0.294602323826055
"EHT","h2",6.39566954663975e-30,0.00102198101950864,-136.369897324919,-9.76613264102718
"GY","a2",0.671524757428883,0.54559894213221,1.80702518188173,1.60154893948453
"GY","d2",4.16340739747856e-06,0.13227657896182,-20.7324045028948,-0.471395016284163
"GY","h2",1.15324292134819e-23,0.811068168371442,-105.789451212223,1.93766318773919
"PHT","a2",4.78168523714226e-17,0.0250518741713476,-73.517410071134,-3.47618761572426
"PHT","d2",0.0515158102752337,0.521011525793426,-2.06854071395429,1.55068237321943
"PHT","h2",1.56561717603612e-29,0.374001742724375,-134.468108389214,1.13786400375051
"TW","a2",0.182945170701096,0.0297140959365487,0.0967939644366567,-3.15491835352358
"TW","d2",0.535508084901848,0.432271139937251,1.58799422962264,1.32724915959338
"TW","h2",1.24836303289974e-18,0.0314210236285494,-81.227729020214,-3.05026445302087
