frq,totvar,V1,nvar,sample
0.1,0.001914783723,202,0.0947912734158416,0
0.15,0.000304642188,31,0.0982716735483871,0
0.2,0.016222322224,1427,0.113681305003504,0
0.25,0.023550419464,2095,0.112412503408115,0
0.3,0.00814649099,640,0.12728892171875,0
0.35,0.036002763547,3119,0.115430469852517,0
0.4,0.034732018051,2882,0.120513594902845,0
0.45,0.028286702081,2162,0.130835809810361,0
0.5,0.018992564796,1626,0.116805441549815,0
0.1,0.001214600189,132,0.0920151658333333,1
0.15,0.000681198702,76,0.0896314081578947,1
0.2,0.016924986,1511,0.112011819986764,1
0.25,0.027102245063,2411,0.112410804906678,1
0.3,0.007119375525,581,0.122536583907057,1
0.35,0.044346808251,3817,0.116182363769976,1
0.4,0.039164802564,3257,0.120248088928462,1
0.45,0.023469297155,1807,0.129879895711123,1
0.5,0.019063674191,1529,0.124680668351864,1
0.1,0.00130148511,140,0.0929632221428572,2
0.15,0.000732087587,79,0.0926693148101266,2
0.2,0.015515199743,1402,0.110664762788873,2
0.25,0.027058888818,2441,0.110851654313806,2
0.3,0.007437699275,602,0.123549821843854,2
0.35,0.044646311337,3798,0.117552162551343,2
0.4,0.039337679491,3266,0.120446048655848,2
0.45,0.024329965021,1851,0.131442274559697,2
0.5,0.019962835096,1605,0.124379034866044,2
0.1,0.001465153573,160,0.0915720983125,3
0.15,0.000757501161,82,0.0923781903658537,3
0.2,0.01642813986,1477,0.111226403926879,3
0.25,0.027846177506,2487,0.111966938102131,3
0.3,0.006924310143,566,0.122337635035336,3
0.35,0.044715573715,3811,0.117332914497507,3
0.4,0.037751686714,3129,0.120650964250559,3
0.45,0.025387233407,1945,0.13052562162982,3
0.5,0.01991733023,1603,0.124250344541485,3
0.1,0.001616215456,176,0.0918304236363636,4
0.15,0.00082337864,90,0.0914865155555556,4
0.2,0.015707809925,1420,0.110618379753521,4
0.25,0.027725253252,2472,0.112157173349515,4
0.3,0.007012386321,555,0.126349303081081,4
0.35,0.046034040758,3940,0.116837666898477,4
0.4,0.03923404462,3233,0.121354916857408,4
0.45,0.023662779851,1849,0.127976094380746,4
0.5,0.019224272121,1587,0.121135930189036,4
0.1,0.001428625114,156,0.091578532948718,5
0.15,0.00084518053,92,0.0918674489130435,5
0.2,0.016738119137,1501,0.111513118834111,5
0.25,0.027743060152,2462,0.112685053419984,5
0.3,0.007149602376,562,0.127217124128114,5
0.35,0.045302426746,3824,0.118468689189331,5
0.4,0.038330848914,3179,0.12057517745832,5
0.45,0.025755463277,1977,0.130275484456247,5
0.5,0.020120351089,1626,0.123741396611316,5
0.1,0.001339376826,145,0.0923708155862069,6
0.15,0.000813935831,89,0.0914534641573034,6
0.2,0.016843934446,1501,0.1122180842505,6
0.25,0.02761607,2478,0.111444995964487,6
0.3,0.006624052262,541,0.122440892088725,6
0.35,0.042948718766,3574,0.120169890223839,6
0.4,0.037321151635,3102,0.120313190312701,6
0.45,0.025277807504,1940,0.130297976824742,6
0.5,0.019388041376,1575,0.123098675403175,6
0.1,0.001604763782,174,0.0922278035632184,7
0.15,0.000875533873,94,0.0931419013829787,7
0.2,0.016165628749,1444,0.111950337596953,7
0.25,0.02758554376,2461,0.112090791385616,7
0.3,0.007193012811,592,0.121503594780405,7
0.35,0.045217818783,3797,0.119088277016065,7
0.4,0.038363330748,3164,0.121249465069532,7
0.45,0.024500769295,1879,0.130392598696115,7
0.5,0.020298384367,1607,0.126312286042315,7
0.1,0.001410966013,152,0.0928267113815789,8
0.15,0.000742288225,79,0.0939605348101266,8
0.2,0.016758402573,1488,0.112623673205645,8
0.25,0.027469307656,2417,0.113650424724866,8
0.3,0.00698080004,571,0.122255692469352,8
0.35,0.044371513929,3819,0.116186210864101,8
0.4,0.038594168902,3207,0.120343526354849,8
0.45,0.024936505685,1885,0.132289154827586,8
0.5,0.018719795843,1522,0.122994716445467,8
0.1,0.00148235426,158,0.0938198898734177,9
0.15,0.000898050796,98,0.0916378363265306,9
0.2,0.016510841992,1480,0.111559743189189,9
0.25,0.027016988864,2392,0.112947277859532,9
0.3,0.0069442137,578,0.120142105536332,9
0.35,0.044591107353,3809,0.117067753617747,9
0.4,0.038814034005,3221,0.120503054967401,9
0.45,0.024717610271,1893,0.130573746809297,9
0.5,0.020027093176,1601,0.125091150381012,9
0.1,0.001445558171,151,0.095732329205298,10
0.15,0.00072275438,78,0.0926608179487179,10
0.2,0.016291319363,1435,0.113528357930314,10
0.25,0.027015761719,2396,0.112753596489983,10
0.3,0.006649186672,552,0.120456280289855,10
0.35,0.045105885737,3829,0.117800694011491,10
0.4,0.037182862996,3098,0.120022152989025,10
0.45,0.025679701256,1953,0.131488485693804,10
0.5,0.019801748278,1573,0.125885240165289,10
