"phenotype","p-value","mode","trait","FDR"
"1","ASI",0.0082881724122894,"additive","perse",0.0476569913706641
"2","ASI",0.00692436391891855,"dominant","perse",0.0476569913706641
"3","DTP",0.0752325990951495,"additive","perse",0.185617479509862
"4","DTP",0.032714079353837,"dominant","perse",0.105331558608004
"5","DTS",0.0318739665428019,"additive","perse",0.105331558608004
"6","DTS",0.0735429908265203,"dominant","perse",0.185617479509862
"7","EHT",0.076668089362769,"additive","perse",0.185617479509862
"8","EHT",0.385246273659574,"dominant","perse",0.708853143533616
"9","GY",0.652804776223384,"additive","perse",0.999986143669985
"10","GY",0.0563299474760423,"dominant","perse",0.161948598993622
"11","PHT",0.000395665059378516,"additive","perse",0.00910029636570587
"12","PHT",0.372626383101902,"dominant","perse",0.708853143533616
"13","TW",0.526271351664643,"additive","perse",0.834775247468054
"14","TW",0.0179684371434283,"dominant","perse",0.0688790090498085
"15","ASI",0.994444833743901,"additive","BPHmax",0.999986143669985
"16","ASI",0.825223959564642,"dominant","BPHmax",0.999986143669985
"17","DTP",0.964431384160015,"additive","BPHmax",0.999986143669985
"18","DTP",0.00349031753690704,"dominant","BPHmax",0.0321109213395448
"19","DTS",0.77541776257073,"additive","BPHmax",0.999986143669985
"20","DTS",5.16634200669393e-08,"dominant","BPHmax",2.37651732307921e-06
"21","EHT",0.852739071805583,"additive","BPHmax",0.999986143669985
"22","EHT",0.469241461025572,"dominant","BPHmax",0.770896685970583
"23","GY",0.00181504976115501,"additive","BPHmax",0.0278307630043768
"24","GY",0.104414041974039,"dominant","BPHmax",0.228716472895514
"25","PHT",0.307152894530424,"additive","BPHmax",0.614305789060848
"26","PHT",0.729789365485513,"dominant","BPHmax",0.999986143669985
"27","TW",0.282352047020609,"additive","BPHmax",0.590372461952182
"28","TW",0.00798320289846956,"dominant","BPHmax",0.0476569913706641
"29","ASI",0.996967662031967,"additive","pBPHmax",0.999986143669985
"30","ASI",0.949544842488585,"dominant","pBPHmax",0.999986143669985
"31","DTP",0.775101609974633,"additive","pBPHmax",0.999986143669985
"32","DTP",0.444263490701463,"dominant","pBPHmax",0.756893354528418
"33","DTS",0.416331162888242,"additive","pBPHmax",0.736585903571505
"34","DTS",0.100439095014808,"dominant","pBPHmax",0.228716472895514
"35","EHT",0.889097678932426,"additive","pBPHmax",0.999986143669985
"36","EHT",0.94908992008843,"dominant","pBPHmax",0.999986143669985
"37","GY",0.0161970474450899,"additive","pBPHmax",0.0677331074976487
"38","GY",0.00957737769898467,"dominant","pBPHmax",0.0489510415725883
"39","PHT",0.0343472473721751,"additive","pBPHmax",0.105331558608004
"40","PHT",0.965242493468705,"dominant","pBPHmax",0.999986143669985
"41","TW",0.00242373473134299,"additive","pBPHmax",0.0278729494104444
"42","TW",0.0150541554258462,"dominant","pBPHmax",0.0677331074976487
"43","ASI",0.987816570590217,"additive","BPHmin",0.999986143669985
"44","ASI",0.901691240996201,"dominant","BPHmin",0.999986143669985
"45","ASI",0.999986143669985,"additive","pBPHmin",0.999986143669985
"46","ASI",0.998271535649123,"dominant","pBPHmin",0.999986143669985
